combination,tier,fork,child,node,parameter,main_value,value,basis,informativeness_rank,rank_reason,est_cost_s,cumulative_cost_s,status,reason_if_not_run
04_stage2=a_linearLags,1,analysis/04_stage2,a_linearLags,analysis/04_stage2/a_linearLags,stage-2 family / input (a node),g_oosErrorBoosting,a_linearLags,a sibling built and scored in batches 4-10; its own claim.md holds the argument,0,already run; results in the sibling's own results/,7.5,-,planned,
04_stage2=b_gradientBoosting,1,analysis/04_stage2,b_gradientBoosting,analysis/04_stage2/b_gradientBoosting,stage-2 family / input (a node),g_oosErrorBoosting,b_gradientBoosting,a sibling built and scored in batches 4-10; its own claim.md holds the argument,0,already run; results in the sibling's own results/,8.6,-,planned,
04_stage2=c_bayesianRidge,1,analysis/04_stage2,c_bayesianRidge,analysis/04_stage2/c_bayesianRidge,stage-2 family / input (a node),g_oosErrorBoosting,c_bayesianRidge,a sibling built and scored in batches 4-10; its own claim.md holds the argument,0,already run; results in the sibling's own results/,7.4,-,planned,
04_stage2=d_linearClimate,1,analysis/04_stage2,d_linearClimate,analysis/04_stage2/d_linearClimate,stage-2 family / input (a node),g_oosErrorBoosting,d_linearClimate,a sibling built and scored in batches 4-10; its own claim.md holds the argument,0,already run; results in the sibling's own results/,7.4,-,planned,
04_stage2=e_pooledRandomForest,1,analysis/04_stage2,e_pooledRandomForest,analysis/04_stage2/e_pooledRandomForest,stage-2 family / input (a node),g_oosErrorBoosting,e_pooledRandomForest,a sibling built and scored in batches 4-10; its own claim.md holds the argument,0,already run; results in the sibling's own results/,10.2,-,planned,
04_stage2=f_oosErrorRidge,1,analysis/04_stage2,f_oosErrorRidge,analysis/04_stage2/f_oosErrorRidge,stage-2 family / input (a node),g_oosErrorBoosting,f_oosErrorRidge,a sibling built and scored in batches 4-10; its own claim.md holds the argument,0,already run; results in the sibling's own results/,16.3,-,planned,
stage1=airline_011x011,2,-,-,analysis/02_stage1,SARIMAX order,"(1,1,1)x(1,0,0,12)","(0,1,1)x(0,1,1,12)",the airline model is the standard seasonal default and differs in the seasonal component (MA on a seasonal difference vs AR on a level),1,changes the residual stage 2 corrects; most likely of the stage-1 forks to move the conclusion,29.5,29.5,planned,
stage2=g_bounded_correction,2,-,-,analysis/04_stage2/g_oosErrorBoosting,correction bound,|zhat| <= 3,"additionally |correction| <= max(stage1 mean, 10)",the refinement batch 10 logged as untried after the Savannakhet diagnosis,1,the one refinement directly motivated by an understood loss,21.8,51.3,planned,
stage2=g_scale_by_residual_rms,2,-,-,analysis/04_stage2/g_oosErrorBoosting,target standardisation,stage 1 se,province in-sample residual RMS,the diagnostics kept both; the se inflates corrections where stage 1's spread is miscalibrated (Savannakhet),2,targets the understood failure mode; could move the province distribution of gains,21.8,73.1,planned,
window=rolling_72m,2,-,-,analysis/02_stage1,training window,expanding from 1998-01,"rolling, last 72 months","a rolling window forgets the 2003 epidemic and the pre-2008 reporting regime, which the diagnostics found dominate the errors",2,"directly tests whether the regime breaks, not the model, drive the result",29.5,102.6,planned,
stage1=nodiff_101x100,2,-,-,analysis/02_stage1,SARIMAX order,"(1,1,1)x(1,0,0,12)","(1,0,1)x(1,0,0,12)",d=1 was chosen without a unit-root test; a level-stationary AR is equally defensible on bounded counts,3,the level-dependent over-prediction stage 2 learned may be a differencing artefact,29.5,132.1,planned,
stage2=g_level_month_horizon_only,2,-,-,analysis/04_stage2/g_oosErrorBoosting,features,full set,"h, month, level_log, level_log_x_h only",the diagnostics' cross-validated test found only the level features beat stage 1,3,the minimal model; if it matches the full one the rest is decoration,21.8,153.9,planned,
stage2=g_rolling_refit_oos,2,-,-,analysis/04_stage2/g_oosErrorBoosting,in-window error construction,parameters fixed at the window's estimates,true rolling refit at every origin,"the fixed-parameter shortcut is mildly optimistic, logged as such in every record",3,the one approximation in the new candidates' construction; costly but affordable,769.8,923.7,planned,
scheme=chap_default_7x1,2,-,-,analysis/01_data/03_backtest_scheme,n_splits/stride,8/3,"7/1 (Chap's evaluate defaults, n_periods 3 unchanged)",the scheme was reused from the prior project for comparability; Chap's own default evaluates 7 consecutive quarters,4,a different cell set; says whether the gain is a property of these 24 test months,29.5,953.2,planned,
stage2=g_per_horizon,2,-,-,analysis/04_stage2/g_oosErrorBoosting,fitting,"one pooled model, horizon indicators",one model per horizon,the direct multi-step design (Ben Taieb & Hyndman 2014) fits each horizon separately,4,the horizon coupling the human asked to be sure of,21.8,975.0,planned,
stage2=g_alt_seed,2,-,-,analysis/04_stage2/g_oosErrorBoosting,component seed,component_seed('04_stage2/g_oosErrorBoosting'),component_seed('04_stage2/g_oosErrorBoosting/alt'),subsample randomness is real; the seed is a judgment call like any other,5,cheap; a seed-sensitive margin is not a margin,21.8,996.8,planned,
stage2=g_zclip2,2,-,-,analysis/04_stage2/g_oosErrorBoosting,ZCLIP (winsorisation bound),3,2,the bound was set by judgment; a tighter one bounds corrections at two standard errors,5,the bound decides how much the regime-break cells shape the fit,21.8,1018.6,planned,
stage2=g_with_climate_anomalies,2,-,-,analysis/04_stage2/g_oosErrorBoosting,features,no climate,add lag-h rainfall/temperature/humidity anomalies (origin and 3-month mean),"climate was excluded on diagnostic evidence; the fork must be run, not argued",6,closes the climate question on the right target,21.8,1040.4,planned,
window=start_2002,2,-,-,analysis/02_stage1,training window start,1998-01,2002-01,the zero-heavy early years are a zero-handling judgment call the plan names explicitly,6,the zero-handling fork the plan asks for,29.5,1069.9,planned,
stage2=g_depth2,2,-,-,analysis/04_stage2/g_oosErrorBoosting,max_depth,3,2,"a fixed, unsearched configuration; neighbours must be tried",7,,21.8,1091.7,planned,
stage2=g_depth4_300trees,2,-,-,analysis/04_stage2/g_oosErrorBoosting,max_depth/n_estimators,3/150,4/300,"as above, more capacity",7,,21.8,1113.5,planned,
stage2=g_zclip5,2,-,-,analysis/04_stage2/g_oosErrorBoosting,ZCLIP,3,5,a looser bound,7,"as above, other direction",21.8,1135.3,planned,
stage2=g_no_incidence_terms,2,-,-,analysis/04_stage2/g_oosErrorBoosting,features,full set,"drop cum12_anom, zero_frac24",the literature-motivated incidence terms had weak marginal correlations,8,isolates the reporting-level term,21.8,1157.1,planned,
