date,settled_by,decision,agency
2026-08-23,"settling §2, after the batch-1 report","The reference is `chapkit_ewars_model`, at its own configuration, to be beaten on the development backtest **and** on the held-out year",human-set
2026-08-23,"settling §2, after the batch-1 report","Statistical significance is not attainable here and is not to be implied; the aim is to conclude, and to report the call as uncertain",human-set
2026-08-23,"settling §2, after the batch-1 report","The stability spread is carried forward from development to the held-out year, so the final validation reports a distribution rather than a point",human-set
2026-08-23,"settling §2, after the batch-1 report",`chapkit` may be used to build our own models against the Chap contract,human-set
2026-08-23,"settling §2, after the batch-1 report","If EWARS cannot be run: stop, report what blocked it, and reconsider the reference together — a practical obstacle changes the reference, not the aim",human-set
2026-08-23,"settling §2, after the batch-1 report","The holdout perturbation manifest is frozen before the holdout is opened; nothing is added, dropped, re-tuned or re-run after a holdout number is seen",agent-on-human-assessment
2026-08-23,"settling §2, after the batch-1 report",Forks are of two kinds: those that change the data or the evaluation re-score every model including the reference; those internal to our candidates move only ours,agent-on-human-assessment
2026-08-23,"settling §2, after the batch-1 report","The root's computed conclusion is a **skill score against the reference**, `1 − CRPS_ours / CRPS_ewars`, per analysis, with raw CRPS and coverage reported beside it",agent-on-human-assessment
2026-08-23,"settling §2, after the batch-1 report","`chapkit_ewars_model` is pinned by commit, and vendored if the URL cannot carry a ref",agent-autonomous
2026-08-23,"settling §2, after the batch-1 report","If the budget will not carry the manifest twice, cut **forks run on both datasets** — never the full set on development and a subset on holdout",agent-autonomous
2026-08-23,"settling §2, after the batch-1 report","The plan as delivered is archived under `Archive/plan-as-delivered/`, and how it changes is a reported result",human-set
2026-08-23,"settled by batch 2, from the installed platform","Phase E runs Chap's own path: `chap eval` on the full file, with `n_periods + (n_splits−1)·stride = 12` so the evaluated span is exactly 2010. The script-computed-CRPS fallback batch 3 was told to prepare is dropped",agent-autonomous
2026-08-23,"settled by batch 2, from the installed platform",Phase E reads the **archived original** rather than concatenating the two split files,agent-autonomous
2026-08-23,"settled by batch 2, from the installed platform",This project never implements CRPS. Aggregation level is ours; the score is always chap-core's `CRPSMetric`,agent-autonomous
2026-08-23,"settled by batch 3, from the data","The backtest scheme is `n_periods 3`, `n_splits 8`, `stride 3`, `n_retrain 1` on development, and `3, 4, 3` on the full file in phase E. It does not move again",agent-autonomous
2026-08-23,"settled by batch 3, from the data",`n_periods = 3` is not a free choice,agent-on-human-assessment
2026-08-23,"settled by batch 3, from the data","The headline mean is over **16 provinces and 371 cells**, not 18 and 408, and this is reported rather than corrected",agent-autonomous
2026-08-23,"settled by batch 3, from the data",Data acquisition is not a node in the claim tree; the fetch script lives in `AI-internal/data-acquisition/` and its record beside the data in `Archive/lao-dataset/provenance.md`,agent-autonomous
2026-08-23,"settled by batch 3, from the data",`(IS_SHADOW)` is recorded in `Archive/lao-dataset/README.md` and `provenance.md` rather than in the data files,agent-autonomous
2026-08-23,"settled by batch 3, from the data",Where the holdout's 24 missing target cells fall was not examined,agent-autonomous
2026-08-23,"settled by batch 3, from the data","Node scripts run under `environment/chapenv`, and `node.py` generates `run.sh` accordingly",agent-autonomous
2026-08-23,"settled by batch 4, from the reference model",The reference is pinned by **image digest** `sha256:abd8098f…` rather than by a `@<commit>` model URL or a local build,agent-autonomous
2026-08-23,"settled by batch 4, from the reference model",Batch 4's reference run is reconnaissance; **the reported reference score is produced from a node inside the tree**,agent-autonomous
2026-08-23,"settled by batch 4, from the reference model","The reference's **unseeded stochasticity is measured and reported, not worked around** — four identical runs, sd 0.196 CRPS, 2.1 % range",agent-autonomous
2026-08-23,"settled by batch 4, from the reference model","The unpaired split-level standard error (5.65 CRPS, 26 % of the mean) is recorded as a property of the *dataset*, and phase C must compute the **paired** per-cell difference rather than lean on it",agent-autonomous
2026-08-23,"settled by batch 4, from the reference model","Candidates are implemented as `MLproject` models with a `uv_env`, native Python; `chapkit` stays permitted but unused",agent-autonomous
2026-08-23,"settled by batch 4, from the reference model",Spatio-temporal GNNs are **ruled out as a family**; the superensemble is ruled out as an *integration* but retained as an ensemble of our own candidates; the mechanistic thermal backbone is ruled out as a backbone and retained as a covariate-transform fork,agent-autonomous
2026-08-23,"settled by batch 4, from the reference model","Whether our candidates **refit at predict time**, as the reference does, is a fork rather than a convention",agent-autonomous
2026-08-26,"settled by batch 5, from the design","The two kinds of fork become a property of the tree's shape: every fork under `02_setup` re-scores every model, every fork under `03_models/03_candidate` moves only ours",agent-autonomous
